Price,Open,High,Low,Close,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2013-01-01,16.814444077851952,16.85026988664811,15.64190808100738,15.906047821044922,1991973200
2013-01-08,16.067265497205078,16.14863282011319,15.13518791221862,15.23355770111084,2552172000
2013-01-15,15.128804224236431,15.506796760243597,14.67581992519491,15.180418014526367,2494178400
2013-01-22,15.31886831000114,15.63553146867818,13.206967431296365,13.657218933105469,4777452400
2013-01-29,13.920445132528862,14.044924993404742,13.419491156980312,13.429206848144531,2324249200
2013-02-05,13.481732275767973,14.723187576868849,13.426171878108052,14.571078300476074,3022283600
2013-02-12,14.643175432628087,14.730819673657741,14.04494069818351,14.05226993560791,1831281200
2013-02-19,14.080974133703538,14.13075064391732,13.515108613861793,13.522132873535156,2062502400
2013-02-26,13.553280603429009,13.816516653014599,12.795333296571886,12.827398300170898,2546569200
2013-03-05,12.871068936508493,13.406396865005673,12.84877624558342,13.371582984924316,2432875200
2013-03-12,13.302264439299803,13.969819640044042,12.989557585314214,13.916685104370117,2425494400
2013-03-19,14.032115206153492,14.351237152463401,13.696199943028525,14.156710624694824,2114932400
2013-03-26,14.213510912812273,14.225726310794109,13.062237378226657,13.097966194152832,1458102800
2013-04-02,13.057961518840141,13.379829089602833,12.816101540189647,13.01551342010498,1935707200
2013-04-09,13.020093977704683,13.375248082019379,12.812131329479929,12.821292877197266,1567039600
2013-04-16,12.873816389895357,13.027726301599063,11.760102535514086,12.174500465393066,2956321200
2013-04-23,12.336963028874207,13.241798582917937,11.986083496904197,13.134916305541992,3423151200
2013-04-30,13.286989378020785,14.114563486282076,13.194459816028221,14.069063186645508,2478218400
2013-05-07,14.199154721035589,14.222973924402313,13.756662256930406,13.886752128601074,2006639600
2013-05-14,13.951316167251399,13.992814786900574,12.87695535289536,13.615635871887207,2671418400
2013-05-21,13.468698465475805,13.782246316760192,13.347275853013983,13.683877944946289,1528248400
2013-05-28,13.829895086580365,14.051222724314757,13.507124999250856,13.855101585388184,1826896400
2013-06-04,13.931950461653852,13.969146217380363,13.30331887788694,13.491447448730469,1854941200
2013-06-11,13.394614219533542,13.610407668485081,13.17205619116228,13.279645919799805,1368452400
2013-06-18,13.266123733777679,13.368794984448463,12.236028526206276,12.374051094055176,1825140800
2013-06-25,12.471187753981086,12.673149162177696,11.953834074130665,12.579391479492188,1988702800
2013-07-02,12.602139721689948,13.011902852672893,12.587077224412246,12.758605003356934,1282957200
2013-07-09,12.714031489496243,13.263045899849145,12.615049142889477,13.139471054077148,1481762800
2013-07-16,13.111190495056473,13.367868548646308,13.038952080901776,13.104735374450684,1110925200
2013-07-23,13.095205048259025,13.832655724959611,12.871111254767262,13.76502799987793,1639036000
2013-07-30,13.831740009221827,14.468364228919919,13.809299754908745,14.430861473083496,1432270000
2013-08-06,14.386899474230363,14.505862830942625,13.945166912996074,14.36661148071289,1520792000
2013-08-13,14.572247010824663,15.896601784693559,14.482820413750359,15.710945129394531,3001432000
2013-08-20,15.771906462326934,15.798517138717742,15.415751734237569,15.563350677490234,1492472800
2013-08-27,15.409558346764634,15.549112736013509,15.038245081505284,15.075995445251465,1243751600
2013-09-03,15.257938772010426,15.71651215618072,15.080017626704592,15.662362098693848,1613542000
2013-09-10,15.663292240031652,15.701971328180509,13.838280791070137,13.928014755249023,2888485600
2013-09-17,13.861173413690906,15.375827867639149,13.846940188429,15.181816101074219,2722193600
2013-09-24,15.31301353753426,15.331269016302874,14.679612707609447,14.752019882202148,1406720000
2013-10-01,14.804624218241637,15.244013363110286,14.802457753405097,15.09239387512207,1536981600
2013-10-08,15.160160399529387,15.39656455955386,14.799367091665172,15.348912239074707,1400882000
2013-10-15,15.394395749705222,16.223356950495603,15.332820883463334,16.13238525390625,1513416800
2013-10-22,16.288641901619986,16.499671387601218,15.719911149031294,16.396013259887695,2120784400
2013-10-29,16.59374990940374,16.6859593875391,15.921360556348931,16.29917335510254,1785184800
2013-11-05,16.23201981600038,16.365383816418472,15.854516225607115,16.06090545654297,1257978400
2013-11-12,16.111727748546336,16.473071695566237,16.089629107494094,16.141605377197266,1246781200
2013-11-19,16.154049700567505,16.366934590269874,15.987228702213415,16.300642013549805,1117919600
2013-11-26,16.31247207011078,17.563949808436746,16.308738821337304,17.156232833862305,1555503600
2013-12-03,17.37628142314148,17.90040248183902,17.35698520730364,17.629316329956055,1941203600
2013-12-10,17.540603886033743,17.770607528929638,17.2321704553146,17.35137176513672,1515693200
2013-12-17,17.298784314454853,17.762835955615948,16.769372538064403,17.743228912353516,2053794400
2013-12-24,17.737000287152213,17.798936324004043,17.190159036013796,17.258630752563477,851076800
2013-12-31,17.24773715203232,17.46902441182226,16.6075248241974,16.929031372070312,1262847600
2014-01-07,16.941173621670767,17.020226766097444,16.49174918202572,16.6738224029541,1538356400
2014-01-14,16.75131759539553,17.435413101179655,16.73388800822445,16.82756996154785,1380218000
2014-01-21,16.837526797139358,17.344839726306503,16.819786385969998,17.13351058959961,2095984800
2014-01-28,15.834422764484975,16.028633241321625,15.361032961132084,15.60939884185791,3113096000
2014-02-04,15.743845021417405,16.557415684050916,15.647673140574371,16.46404457092285,1678630800
2014-02-11,16.61331736911271,17.09455025791422,16.57856222714202,17.032241821289062,1170680000
2014-02-18,17.095181211617927,17.257678483634503,16.35689547353273,16.517513275146484,1447572000
2014-02-25,16.574810191327447,16.680324718131228,16.143359749526162,16.52408790588379,1420801200
2014-03-04,16.625528831773753,16.74293884080263,16.470544476258496,16.623023986816406,1044005200
2014-03-11,16.764852277274123,16.896665943186107,16.37504467089244,16.492143630981445,1173037600
2014-03-18,16.46585123035507,16.922975506600185,16.44393466804142,16.881959915161133,1372548800
2014-03-25,16.954288972719805,17.18911242872578,16.727291070170313,16.805253982543945,1173326000
2014-04-01,16.837184244646956,17.01627734359082,16.34029850545681,16.389766693115234,1108626400
2014-04-08,16.443622148060847,16.664356228125172,16.19157749856736,16.333724975585938,1167101600
2014-04-15,16.289579738353556,16.661226634029806,16.009669061477766,16.630857467651367,948138800
2014-04-22,16.541310353232422,18.652848664416744,16.4204540446279,18.600873947143555,2417175600
2014-04-29,18.589916764319614,18.817227377089736,18.358850554369234,18.81597328186035,1516648000
2014-05-06,18.84226720371147,18.923985690785383,18.170043983028574,18.561418533325195,1392532400
2014-05-13,18.63896449020125,19.121626063742816,18.431165506820722,19.035358428955078,1150998800
2014-05-20,19.03283754816532,19.35461133547968,18.913825049054598,19.33572006225586,864665200
2014-05-27,19.390809317695933,20.281511837434657,19.382938377884756,19.792869567871094,1974193200
2014-06-03,19.786896222632585,20.690507777805536,19.780284697339386,20.650836944580078,1583595200
2014-06-10,20.87783001132519,20.948355705355233,20.02931560064898,20.320234298706055,1013172000
2014-06-17,20.34448565733011,20.430438828155772,19.967613674140868,20.0183048248291,973440000
2014-06-24,20.00067358058822,20.657445750407348,19.758241509843966,20.481130599975586,888181200
2014-07-01,20.611162737638836,21.15553398389094,20.51639363386054,21.151126861572266,584191200
2014-07-08,21.21724712052293,21.353891474406172,20.61116597773689,21.25691795349121,872688000
2014-07-15,21.33405210350792,21.400169022616797,20.401788579026597,20.70372772216797,980956800
2014-07-22,20.866818948646973,21.871810954928645,20.743399349690538,21.82332420349121,1170524000
2014-07-29,21.89164260664385,21.915885977266402,20.89546505415052,21.067371368408203,885860000
2014-08-05,21.016685791612897,21.17536908993759,20.558267747889538,21.155532836914062,878608000
2014-08-12,21.271837518026803,22.009397463983394,21.176597029301213,21.9628849029541,761400000
2014-08-19,22.018256683005696,22.629566060900448,21.99832176316695,22.490028381347656,960120000
2014-08-26,22.463446915890774,22.79125186012314,22.303974331660402,22.702655792236328,794304000
2014-09-02,22.826695462556263,22.977308311851818,21.659447147888127,21.785696029663086,1478066800
2014-09-09,21.945159673584534,22.83111685033163,21.293980607930074,22.50995635986328,1908046400
2014-09-16,22.104637409240333,22.669434227706663,21.90308129323925,22.383712768554688,1155299200
2014-09-23,22.281823351765095,22.8001091950287,21.643934772962226,22.173294067382812,1343211200
2014-09-30,22.328344783623535,22.490032781258314,21.714819919088967,22.064773559570312,940136000
2014-10-07,22.02268053247487,22.676073272729457,21.774611915279195,22.10684585571289,1187161600
2014-10-14,22.235317109883365,22.264110118855736,21.08135772658052,22.095779418945312,1529894800
2014-10-21,22.81782721664171,23.364906064587792,22.430220936984444,23.28074073791504,1260813200
2014-10-28,23.344976782733664,24.430274887107185,23.33390163979768,24.230934143066406,953302000
2014-11-04,24.22207582399457,24.250868831599064,23.858833419590184,24.104686737060547,699463200
2014-11-11,24.1802831270561,26.08890207213618,24.113549231442292,25.35704231262207,898871600
2014-11-18,25.34592537551268,26.420356391629188,25.314782545895213,26.38921356201172,936475200
2014-11-25,26.48709092144537,26.638356815087462,24.751982241265864,25.597291946411133,872948400
2014-12-02,25.248051365101617,26.07111491576186,24.829846367563757,25.00335693359375,961762400
2014-12-09,24.511734418637026,25.548349198698833,23.657526638192902,24.075733184814453,1077684800
2014-12-16,23.66198119692399,25.245822376156212,23.637511587949835,25.123476028442383,1227224000
2014-12-23,25.187990362173046,25.530561543829283,24.916601347972968,25.339256286621094,407311600
2014-12-30,25.27919191529591,25.341477579814658,23.44843124496915,23.63528823852539,755100000
2015-01-06,23.699798433932617,25.192436170250655,23.27491856335747,24.302637100219727,1074471200
2015-01-13,24.787577046923836,25.092333831832704,23.40171428294956,23.577449798583984,1018303200
2015-01-20,23.988980957992105,25.439354322694612,23.69089909852395,25.159067153930664,1017408000
2015-01-27,25.007800800870275,26.69397033430486,24.253696274698715,26.38921356201172,1891867200
